0x180001010: sub_180001010
0x18007c930: sub_18007C930
0x18007cb30: sub_18007CB30
0x18007cbf0: sub_18007CBF0
0x18007cda0: sub_18007CDA0
0x18007cde0: sub_18007CDE0
0x18007cf30: sub_18007CF30
0x18007cf70: sub_18007CF70
0x18007d7e0: sub_18007D7E0
0x18007d8c0: sub_18007D8C0
0x18007d950: sub_18007D950
0x18007d9a0: sub_18007D9A0
0x18007daa0: sub_18007DAA0
0x18007db10: sub_18007DB10
0x18007dc70: sub_18007DC70
0x18007e0b0: ogg_packet_clear
0x18007e0c0: ogg_page_bos
0x18007e0d0: ogg_page_eos
0x18007e0e0: ogg_page_granulepos
0x18007e0f0: ogg_page_packets
0x18007e100: ogg_page_serialno
0x18007e110: ogg_stream_clear
0x18007e120: ogg_stream_flush
0x18007e130: ogg_stream_flush_fill
0x18007e140: ogg_stream_init
0x18007e150: ogg_stream_packetin
0x18007e160: ogg_stream_packetout
0x18007e170: ogg_stream_packetpeek
0x18007e180: ogg_stream_pagein
0x18007e190: ogg_stream_pageout
0x18007e1a0: ogg_stream_pageout_fill
0x18007e1b0: ogg_stream_reset
0x18007e1c0: ogg_stream_reset_serialno
0x18007e1d0: ogg_sync_buffer
0x18007e1e0: ogg_sync_clear
0x18007e1f0: ogg_sync_init
0x18007e200: ogg_sync_pageseek
0x18007e210: ogg_sync_reset
0x18007e220: ogg_sync_wrote
0x18007e230: vorbis_encode_init_vbr
0x18007e240: FLAC__metadata_object_delete
0x18007e250: FLAC__metadata_object_new
0x18007e260: FLAC__metadata_object_vorbiscomment_append_comment
0x18007e270: FLAC__metadata_object_vorbiscomment_entry_from_name_value_pair
0x18007e280: FLAC__metadata_object_vorbiscomment_find_entry_from
0x18007e290: FLAC__stream_decoder_delete
0x18007e2a0: FLAC__stream_decoder_finish
0x18007e2b0: FLAC__stream_decoder_get_decode_position
0x18007e2c0: FLAC__stream_decoder_get_state
0x18007e2d0: FLAC__stream_decoder_init_stream
0x18007e2e0: FLAC__stream_decoder_new
0x18007e2f0: FLAC__stream_decoder_process_single
0x18007e300: FLAC__stream_decoder_process_until_end_of_metadata
0x18007e310: FLAC__stream_decoder_seek_absolute
0x18007e320: FLAC__stream_decoder_set_metadata_respond_all
0x18007e330: FLAC__stream_encoder_delete
0x18007e340: FLAC__stream_encoder_finish
0x18007e350: FLAC__stream_encoder_init_stream
0x18007e360: FLAC__stream_encoder_new
0x18007e370: FLAC__stream_encoder_process_interleaved
0x18007e380: FLAC__stream_encoder_set_bits_per_sample
0x18007e390: FLAC__stream_encoder_set_channels
0x18007e3a0: FLAC__stream_encoder_set_compression_level
0x18007e3b0: FLAC__stream_encoder_set_metadata
0x18007e3c0: FLAC__stream_encoder_set_sample_rate
0x18007e3d0: opus_get_version_string
0x18007e3e0: opus_multistream_decode_float
0x18007e3f0: opus_multistream_decoder_create
0x18007e400: opus_multistream_decoder_ctl
0x18007e410: opus_multistream_decoder_destroy
0x18007e420: opus_multistream_encode_float
0x18007e430: opus_multistream_encoder_create
0x18007e440: opus_multistream_encoder_ctl
0x18007e450: opus_multistream_encoder_destroy
0x18007e460: opus_multistream_surround_encoder_create
0x18007e470: opus_packet_get_nb_samples
0x18007e480: opus_strerror
0x18007e490: mpg123_close
0x18007e4a0: mpg123_delete
0x18007e4b0: mpg123_format
0x18007e4c0: mpg123_getformat
0x18007e4d0: mpg123_id3
0x18007e4e0: mpg123_info2
0x18007e4f0: mpg123_init
0x18007e500: mpg123_length
0x18007e510: mpg123_new
0x18007e520: mpg123_open_handle
0x18007e530: mpg123_param2
0x18007e540: mpg123_plain_strerror
0x18007e550: mpg123_read
0x18007e560: mpg123_replace_reader_handle
0x18007e570: mpg123_scan
0x18007e580: mpg123_seek
0x18007e590: id3tag_genre_list
0x18007e5a0: id3tag_init
0x18007e5b0: id3tag_set_album
0x18007e5c0: id3tag_set_artist
0x18007e5d0: id3tag_set_comment
0x18007e5e0: id3tag_set_genre
0x18007e5f0: id3tag_set_title
0x18007e600: id3tag_set_track
0x18007e610: id3tag_set_year
0x18007e620: lame_close
0x18007e630: lame_encode_buffer
0x18007e640: lame_encode_buffer_float
0x18007e650: lame_encode_buffer_ieee_double
0x18007e660: lame_encode_buffer_ieee_float
0x18007e670: lame_encode_buffer_int
0x18007e680: lame_encode_buffer_interleaved
0x18007e690: lame_encode_buffer_interleaved_ieee_double
0x18007e6a0: lame_encode_buffer_interleaved_ieee_float
0x18007e6b0: lame_encode_buffer_interleaved_int
0x18007e6c0: lame_encode_flush
0x18007e6d0: lame_get_VBR
0x18007e6e0: lame_get_VBR_mean_bitrate_kbps
0x18007e6f0: lame_get_VBR_q
0x18007e700: lame_get_bWriteVbrTag
0x18007e710: lame_get_brate
0x18007e720: lame_get_encoder_delay
0x18007e730: lame_get_framesize
0x18007e740: lame_get_id3v1_tag
0x18007e750: lame_get_id3v2_tag
0x18007e760: lame_get_lametag_frame
0x18007e770: lame_get_mode
0x18007e780: lame_get_out_samplerate
0x18007e790: lame_get_version
0x18007e7a0: lame_init
0x18007e7b0: lame_init_params
0x18007e7c0: lame_set_VBR
0x18007e7d0: lame_set_VBR_mean_bitrate_kbps
0x18007e7e0: lame_set_VBR_quality
0x18007e7f0: lame_set_bWriteVbrTag
0x18007e800: lame_set_brate
0x18007e810: lame_set_in_samplerate
0x18007e820: lame_set_num_channels
0x18007e830: lame_set_out_samplerate
0x18007e840: lame_set_write_id3tag_automatic
0x18007e850: vorbis_analysis
0x18007e860: vorbis_analysis_blockout
0x18007e870: vorbis_analysis_buffer
0x18007e880: vorbis_analysis_headerout
0x18007e890: vorbis_analysis_init
0x18007e8a0: vorbis_analysis_wrote
0x18007e8b0: vorbis_bitrate_addblock
0x18007e8c0: vorbis_bitrate_flushpacket
0x18007e8d0: vorbis_block_clear
0x18007e8e0: vorbis_block_init
0x18007e8f0: vorbis_comment_add_tag
0x18007e900: vorbis_comment_clear
0x18007e910: vorbis_comment_init
0x18007e920: vorbis_comment_query
0x18007e930: vorbis_dsp_clear
0x18007e940: vorbis_info_blocksize
0x18007e950: vorbis_info_clear
0x18007e960: vorbis_info_init
0x18007e970: vorbis_packet_blocksize
0x18007e980: vorbis_synthesis
0x18007e990: vorbis_synthesis_blockin
0x18007e9a0: vorbis_synthesis_headerin
0x18007e9b0: vorbis_synthesis_init
0x18007e9c0: vorbis_synthesis_pcmout
0x18007e9d0: vorbis_synthesis_read
0x18007e9e0: vorbis_synthesis_restart
0x18007e9f0: vorbis_synthesis_trackonly
0x18007ea00: vorbis_version_string
0x18007ea10: CloseHandle
0x18007ea20: CreateFileW
0x18007ea30: FlushFileBuffers
0x18007ea40: FormatMessageA
0x18007ea50: GetFileSizeEx
0x18007ea60: GetFileType
0x18007ea70: GetLastError
0x18007ea80: GetStdHandle
0x18007ea90: LocalFree
0x18007eaa0: MultiByteToWideChar
0x18007eab0: ReadFile
0x18007eac0: SetEndOfFile
0x18007ead0: SetFilePointerEx
0x18007eae0: Sleep
0x18007eaf0: WideCharToMultiByte
0x18007eb00: WriteFile
0x18007eb10: strtol
0x18007eb20: getenv
0x18007eb30: _stat64
0x18007eb40: remove
0x18007eb50: calloc
0x18007eb60: free
0x18007eb70: malloc
0x18007eb80: realloc
0x18007eb90: frexp
0x18007eba0: memcmp
0x18007ebb0: memcpy
0x18007ebc0: memmove
0x18007ebd0: strchr
0x18007ebe0: strrchr
0x18007ebf0: strstr
0x18007ec00: _errno
0x18007ec10: _execute_onexit_table
0x18007ec30: _initterm
0x18007ec40: _register_onexit_function
0x18007ec50: strerror
0x18007ec60: __acrt_iob_func
0x18007ec70: _get_osfhandle
0x18007ec80: fclose
0x18007ec90: fopen
0x18007eca0: fread
0x18007ecb0: fseek
0x18007ecc0: fwrite
0x18007ecd0: putchar
0x18007ece0: puts
0x18007ecf0: isprint
0x18007ed00: memset
0x18007ed10: strcmp
0x18007ed20: strlen
0x18007ed30: strncat
0x18007ed40: strncmp
0x18007ed50: strncpy
0x18007ed60: tolower
0x18007ed70: toupper
0x18007ed80: _gmtime64
0x18007ed90: _time64
0x18007eda0: VirtualProtect
0x18007edb0: VirtualQuery
0x18007edc0: abort
0x18007edd0: GetTimeZoneInformation
0x18007ede0: GetModuleHandleA
0x18007edf0: GetProcAddress
0x18007ee00: GetSystemTimeAsFileTime
0x18007ee10: IsProcessorFeaturePresent
0x18007ee20: GetCurrentProcess
0x18007ee30: TerminateProcess
0x18007ee40: rand_s
0x18007ee50: _lock_file
0x18007ee60: _unlock_file
0x18007ee70: localeconv
0x18007ee80: mbrlen
0x18007ee90: getc
0x18007eea0: isspace
0x18007eeb0: ungetc
0x18007eec0: mbrtowc
0x18007eed0: isxdigit
0x18007eee0: strtoul
0x18007eef0: strtoull
0x18007ef00: strtoll
0x18007ef10: _close
0x18007ef20: _memccpy
0x18007ef30: _initialize_narrow_environment
0x18007ef40: _configure_narrow_argv
0x18007ef50: __p___argc
0x18007ef60: __p___argv
0x18007ef70: __p__environ
0x18007ef80: _set_new_mode
0x18007ef90: _initialize_wide_environment
0x18007efa0: _configure_wide_argv
0x18007efb0: __p___wargv
0x18007efc0: __p__wenviron
0x18007efd0: _crt_atexit
0x18007efe0: _crt_at_quick_exit
0x18007eff0: _exit
0x18007f000: __tzname
0x18007f010: __timezone
0x18007f020: __daylight
0x18007f030: __stdio_common_vfwprintf
0x18007f040: EnterCriticalSection
0x18007f050: LeaveCriticalSection
0x18007f060: TlsGetValue
0x18007f070: InitializeCriticalSection
0x18007f080: DeleteCriticalSection
0x18007f090: __stdio_common_vfprintf
0x18007f0a0: _write
0x18007f0b0: fputc
0x18007f0c0: wcslen
0x18007f0d0: wcrtomb
0x18007f0e0: GetFileAttributesA
